treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%),Night_definition
night_control_diff,-0.0506550952162466,-0.149467635201007,0.0454794279596433,-29.5357990429535,-139.73746281555,18.0975377708196,3
night_control_diff,-0.118041508882682,-0.210323987959179,-0.0351673721993118,-60.0268610717423,-169.645715101635,-12.5182708395225,2.5
night_control_diff,-0.129036279700796,-0.214073617974173,-0.0527072273289063,-67.7794698143873,-173.35568015481,-19.6759136354515,2
night_control_diff,-0.116976134798185,-0.195196343445537,-0.0426910249729178,-67.4863325602321,-168.701670007158,-17.7870791459077,1.5
night_control_diff,-0.065076299261976,-0.153696256082613,0.0323294943217794,-42.1624863336381,-147.732044867661,15.2301359514147,1
night_control_diff,-0.0907834263637161,-0.174517996529007,0.00234645326034417,-58.9796502519238,-166.863616325881,1.11462259295251,0.5
night_control_diff,-0.0435770145353585,-0.159657808120684,0.0987488406905529,-29.4614807693903,-158.904336902338,48.8975750518645,0
night_control_diff,-0.0371703187170737,-0.184684992389242,0.203807162497377,-25.3561309593032,-184.208374018948,102.061583206357,-0.5
night_control_diff,-0.147014209829641,-0.199494038669625,-0.100816259381907,-100,-197.878834121302,-50.535975939043,-1
night_control_diff,-0.14664879941815,-0.198200303398629,-0.100151151640415,-100,-197.90117252995,-50.5302716106275,-1.5
